epoch,train_loss,train_mse,train_derivative,train_correlation_loss,val_loss,val_mse,val_derivative,val_correlation_loss
1,1.0438409851584243,0.8989242352408804,0.3474097435836827,0.7543480188855322,0.9734132937022618,0.8405843189784459,0.32346040393624986,0.6813688738005502
2,0.9632227527789581,0.830441795862638,0.34497869183947316,0.6378522183432247,0.9114229917526245,0.7885527040277208,0.31340724868433817,0.6018882530076163
3,0.8505579501717955,0.7344461181661585,0.32127570887625,0.5185669192246029,0.8428832905633109,0.7371862726552146,0.29140239102499826,0.4741653765950884
4,0.7553987615492754,0.6495904374471951,0.3056754793548759,0.4467322817652217,0.8704980049814497,0.7654284962585994,0.29210633720670426,0.46648231744766233
5,0.7359188056035793,0.6364707176065271,0.2925700183425631,0.40934085289200584,0.6740961287702832,0.5789805825267519,0.2719374090433121,0.4072806545666286
6,0.682393192480772,0.5856532816921834,0.29016963488016373,0.38705983223059237,0.6948357454368046,0.5977458238601685,0.27911980492728095,0.4126596544470106
7,0.6545234264689924,0.5603439635409541,0.2832730828951567,0.37524848062913496,0.6918432286807469,0.6002875208854676,0.26773182025977543,0.3800933761256082
8,0.6569136899687869,0.565544687347971,0.2779704614545836,0.3577491149797544,0.6137694222586495,0.5271380522421428,0.25527465641498565,0.3557643405028752
9,0.6251075244866885,0.5356194381312136,0.27351718818966725,0.3478465195431377,0.6063435520444598,0.5192081660032273,0.25999629199504853,0.35136125087738035
10,0.5870874882181049,0.5010235059610654,0.26289991848853045,0.33483999274370874,0.6419442227908543,0.5536682729210173,0.25654342770576477,0.3696725819792066
11,0.5976353419787718,0.5114893253906306,0.2643407186964056,0.33277870840205376,0.6042059063911438,0.5200210724558149,0.2520530330283301,0.3377422302961349
12,0.5783831154033815,0.49464751938323837,0.25641198199747245,0.32453197633827124,0.5934387411390032,0.5086762973240444,0.25443834705012186,0.33874780876295907
13,0.5711013973850907,0.48782474730477665,0.2594149418912091,0.313936621933193,0.5651009346757616,0.483249454838889,0.244941993696349,0.328630793094635
14,0.561032521419036,0.4793685157220442,0.25335998118142067,0.3099200972270616,0.5534097611904144,0.4734569936990738,0.24225023175988877,0.3150272275720324
15,0.5542671360594013,0.4735222191382677,0.2515052277526576,0.3044387054639858,0.5627149726663317,0.48010280174868447,0.251055571436882,0.3240105445895876
16,0.5441568360114709,0.463860836767015,0.2498340491519306,0.3032919065856235,0.5682599587099892,0.4893157584326608,0.23701205211026327,0.31541788748332433
17,0.5476721888715095,0.46772652919039187,0.24940345608271086,0.30064969092280003,0.5546819456986019,0.4759796142578125,0.23688125014305114,0.3132607838937214
18,0.5381596408265851,0.45877249920979524,0.24855000282818582,0.29677141154860404,0.5488626182079315,0.46841825204236165,0.2449995424066271,0.31444458280290877
19,0.5495754144130609,0.47064384053914976,0.24686695910962947,0.2955818127144824,0.5356055106435503,0.4583710253238678,0.23554449209145137,0.30125583239964077
20,0.5393026538820931,0.4601685457177215,0.24919219446051252,0.2929566810419271,0.5196898920195443,0.4432399413415364,0.23403262325695584,0.29643424451351164
21,0.5368161992930667,0.45866803453737126,0.24535523002946769,0.2907711765814177,0.5300046639783041,0.45365538043635234,0.23394208720752172,0.29560866483620235
22,0.5211202580850203,0.4436380278605681,0.24465404811141256,0.285514215137059,0.5313831031322479,0.45407380376543316,0.23651446402072906,0.3000640545572553
23,0.5215448309213687,0.44475603845966605,0.2422202475123353,0.2834474265902907,0.5167140705244881,0.4414228643689837,0.23309576170785087,0.2867205006735665
24,0.525223528181677,0.4492040986652339,0.23854582180907002,0.28310267081409146,0.5378775349685124,0.4599869208676474,0.23976367797170367,0.29937878761972697
25,0.5161108717376932,0.4399654121298493,0.23979759472848733,0.2818594079860401,0.5212463353361402,0.4448893334184374,0.23569395967892237,0.2921820704426084
26,0.5076541719965009,0.43214197085672246,0.2389730862427107,0.27717583711112376,0.5110622661454337,0.4355601293700082,0.23190442153385707,0.2912125110626221
27,0.5116945885039947,0.43650722416329296,0.2377372756327465,0.2763990806245105,0.5454193839005061,0.4651259613888604,0.24865778940064567,0.30561860076018743
28,0.5103815789624448,0.43456521777661294,0.24341312967813933,0.2713373351992268,0.48976553210190366,0.4167928244386401,0.2259491375514439,0.27782880280699046
29,0.513449605022158,0.4379637485895401,0.23985591208760118,0.27514672421273734,0.510041276046208,0.43433949138437,0.23224827774933407,0.29252130346638816
30,0.5150637529490195,0.4396635560871481,0.2403742701852278,0.2732534618713917,0.4934121425662722,0.42061393686703274,0.22506199862275805,0.2778580333505358
