epoch,train_missing_mse,val_missing_mse
1,0.9369213445719345,0.9252314337662289
2,0.9124778834454742,0.9134196741240365
3,0.9161306145863656,0.9000737777778081
4,0.9060642710535518,0.9057053012507302
5,0.8824618602847005,0.886416906118393
6,0.8945593932172754,0.8871641090938023
7,0.8997737739112351,0.8826700389385224
8,0.877841918459742,0.8859483863626207
9,0.8798819182119964,0.8784732758998871
10,0.867371196602727,0.8740696310997009
11,0.8584883065669091,0.8819838489804949
12,0.8516144968651154,0.8711601734161377
13,0.8788595339317462,0.8763135671615601
14,0.8647627529207167,0.8747932527746473
15,0.8761344215808771,0.8715083045618874
16,0.8809371996711899,0.8713558656828744
17,0.8886759022434989,0.8737953228609903
18,0.8610608737110655,0.8755849310329982
19,0.8957051102058354,0.8688147800309317
20,0.8597135556923164,0.8778291506426675
21,0.8621091720385429,0.8667983949184418
22,0.8643599303214105,0.8664912155696324
23,0.866616006954249,0.8628354626042503
24,0.8698442423299992,0.8812300826822008
25,0.8496784802539882,0.8694039574691228
26,0.8660295891128617,0.8666303302560534
27,0.8691745281437815,0.8651246547698974
28,0.8410851865897685,0.8637422621250153
29,0.8626863345121726,0.8758801920073372
30,0.863792033422561,0.8649404091494424
