method,gap_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_correlation,n
cubic,0.25,0.19586950786747898,0.33848757013860525,0.24647965101343017,0.3909142003680095,0.20687801138808962,108995
cubic,0.5,0.3497880723567545,0.6402687515486297,0.42889270978167426,0.7337585570394959,0.04020548946455922,108995
cubic,1.0,0.6389474269328312,1.2532450503023886,0.7565540548617012,1.4454575391762539,0.000445396881072553,108995
cubic,2.0,1.2248028476126336,2.443926366694872,1.4290615236640518,2.835073869109536,0.002639768673872768,108995
linear,0.25,0.09072684072613876,0.09374784928308445,0.12876461763343677,0.12672272052914735,0.2559344850172223,108995
linear,0.5,0.10071657648859443,0.08489991998841728,0.1521473973877082,0.11006634305469624,0.11176368225085025,108995
linear,1.0,0.10591034646356581,0.08798901902108215,0.16210863925331614,0.1032428974518367,0.04821068872014438,108995
linear,2.0,0.10855741849959258,0.0856754942543248,0.16493149484456943,0.10057549386344812,0.06794192067713285,108995
