epoch,train_noise_mse,val_noise_mse_ema
1,0.2169047800394205,0.21137866675853728
2,0.15167931328108022,0.15808514761073247
3,0.14138012111951143,0.14270830771752765
4,0.1310264852457431,0.13445475846529006
5,0.1256363637499757,0.1285505833370345
6,0.12367538219461074,0.12405870024647031
7,0.1214462317553632,0.1208238382424627
8,0.11452746333984229,0.11822295891387122
9,0.11334385533199642,0.11608842377151762
10,0.11160175416332024,0.11418975676809039
11,0.10836703277059964,0.11267591065594128
12,0.10979883334575555,0.11148140292082515
13,0.10676870115729042,0.11041635434542384
14,0.10899322383078464,0.10940221750310489
15,0.1045039527445704,0.10847743281296321
16,0.10635016067124112,0.10770046955772809
17,0.10357912889112046,0.1070740040923868
18,0.10260242070907201,0.10649445461375373
19,0.10349926883320669,0.10582389405795506
20,0.10310739767311257,0.10510107683283942
21,0.10463085963012098,0.10440873822995594
22,0.10066816475474354,0.10374374464154243
23,0.09904612761823249,0.1032236455806664
24,0.10057292104913639,0.10274345225521496
25,0.09957659780815407,0.1022788445864405
26,0.1000841526321439,0.10183153375983238
27,0.09991629645501302,0.10137482221637453
28,0.09807900892017962,0.101051284798554
29,0.09822140609497552,0.10075708201953343
30,0.09707940230657766,0.10040630708847727
